name,city,kind,item_id,place_id,google_name,google_category,raw_status,status
BREKKY Cafe Pererenan,Pererenan,Cafe,679c5e8ec8a9859eed886315,ChIJ9dakCho50i0RjqjQLKthFB0,,,ERROR:404,ERROR:404
BWork Cafe,Canggu,Cafe,65fa86d0e0379bf78d5245a6,ChIJ6fBvIpg50i0R8764BCFFN60,B Work Bali,Coworking Space,OPERATIONAL,Open
BWork Members Area,Canggu,Coworking Space,65fa86d0e0379bf78d524490,ChIJ6fBvIpg50i0R8764BCFFN60,B Work Bali,Coworking Space,OPERATIONAL,Open
Baan Manali Beach Café,Nai Wok,Cafe,6784e2178dc303e48a2184d4,ChIJX9yaGLX_VDARI1ARJzUI2bA,Baan Manali Beach Café,Brunch restaurant,OPERATIONAL,Open
Baguccino,Pererenan,Cafe,69c349f3cc1ef85a9098c404,ChIJc0DutUg50i0RL9jFBF4bX10,Baguccino,Coffee shop,OPERATIONAL,Open
Bake Brothers,Sukhumvit (Asoke),Cafe,674b379f207c69628c4cecfb,ChIJb_Omn-Oe4jARjgJcHXp-b0M,Bake Brothers,Restaurant,OPERATIONAL,Open
Bake Sense coffee,Wok Tum,Cafe,6784e2109557868af88b30b6,ChIJFxfBExL-VDARnjbKOrsJBHw,Bakesense home and pottery,Cafe,OPERATIONAL,Open
Baked Berawa,Berawa,Cafe,65fa86d0e0379bf78d5245ac,ChIJU0lp4SNH0i0R7x72tr13TmY,BAKED. Berawa,Bakery,OPERATIONAL,Open
Balagan,Central,Cafe,682f68cfdfdebe7cbc3a4acc,ChIJJ8sswvEnHw0RwyCFK4eSBlA,Balagan Ericeira,Restaurant,OPERATIONAL,Open
Balance Specialty Coffee,Wok Tum,Cafe,6784e211b7f8692649cd1f17,ChIJIZrIMyr9VDAR8Tywkk89kHE,Balance Specialty Coffee,Cafe,OPERATIONAL,Open
Bali Bustle Coworking & Coliving,Kuta (Bali),Coworking Space,6631cb0d5be6e2bfb1874f04,ChIJ_8ZN7HlH0i0R9SVLx2VoD3M,Bali Bustle Coworking and Coliving Space Bali,Hotel,OPERATIONAL,Open
Baltic Cowork,Kesklinn,Coworking Space,67dbb82e05b2a7fae38f8129,ChIJ4eQVPQSVkkYRH04LKAKP19k,Baltic Cowork,Coworking space,OPERATIONAL,Open
Banana Rock,Ao Leuk,Cafe,67c195482ceb224f64c7a4f2,ChIJYZXHGYGhVTARdX18R8Zk4PA,Banana Rock,Bar,OPERATIONAL,Open
Baoba Cafe Bica,Bica,Cafe,67dbb82a6de5ed125908b36c,ChIJHQJg3hY1GQ0RT6SJsiKwTvI,Baobá Café Bica,Cafe,OPERATIONAL,Open
Bartels Sukhumvit,Sukhumvit,Cafe,674b379f04fee7c9b3adfd79,ChIJvQVc8Quf4jAR-bvn--T1QiM,BARTELS Sukhumvit,Bakery,OPERATIONAL,Open
Bay Aree,Ari,Cafe,674b379f31a2fd6ff89b722c,ChIJL6oMxRid4jARO32aVKwK_9Q,BAY Aree,Cafe,OPERATIONAL,Open
Beachub,Srithanu,Coworking Space,6784e2104f1f500b3ca69c90,ChIJkZoQvtgBVTAR6fZuHLksTig,Beachub,Services,OPERATIONAL,Open
BeansLiquor Chiang Mai,Nimman,Cafe,67c19546d1fd4b90cf0a055b,ChIJA8yHlKc72jARa9ZYxIbYjfw,BeansLiquor,Coffee shop,OPERATIONAL,Open
Beehive Lofts Coworking,Ancoats,Coworking Space,6809cff67a5c39fcdc925cac,ChIJ9xVfNruxe0gRA2KNhp-vh-0,Beehive Lofts Manchester Co-working,Coworking space,OPERATIONAL,Open
Begadang Beer Garden - Gili Air,Gili Air,Cafe,67a9564532c3199ae053831c,ChIJB0F_q57dzS0RtKKAWYvgz_8,Begadang Beer Garden - Gili Air,Restaurant,OPERATIONAL,Open
Behongli Coworking Space,Mapo-gu,Coworking Space,67f8adc6d69e2722cd625a3c,ChIJkaDhizaZfDURemtciMYlkDE,Behongli Coworking Space,Coworking space,OPERATIONAL,Open
Beluna - House of Creatives,Ubud,Coworking Space,65fa86d0e0379bf78d52469d,ChIJ8_-IDzI90i0RUHBNPAjcils,Beluna - House of Creatives,Coworking Space,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Bespoke Spaces Coworking - Archway,Archway,Coworking Space,6809cff7e45574f02ae14dba,ChIJB9iT4i4bdkgRZMUlhh4YZEA,Bespoke Spaces - Archway - Coworking & Office Space,Coworking space,OPERATIONAL,Open
Bespoke Spaces Coworking - Hornsey Rd,Archway,Coworking Space,6809cff694d120b9c29c6cfe,ChIJjwV4rrwbdkgR6Os5nWEmq6s,Bespoke Spaces,Coworking space,OPERATIONAL,Open
Betahaus | Coworking Barcelona,Gracia,Coworking Space,6809cff3443445c22086feee,ChIJL2uOcbuipBIRPFrHBWTTkNc,Betahaus | Coworking Barcelona,Coworking space,OPERATIONAL,Open
Beton by Spacemade,Clerkenwell,Coworking Space,67d52fb0be684099921b007c,ChIJO-QoS1MbdkgRtTgxaCdUAuU,Beton by Spacemade,Real estate agency,OPERATIONAL,Open
Bibli Library Cafe,District 1,Cafe,67dbb8306cc27ddd69368d55,ChIJLZSvHzcvdTER6KEjhbzJm_Y,Bibli Library Café,Cafe,OPERATIONAL,Open
Biliq Seminyak,Seminyak,Coworking Space,6631c9da9377358b028c2fb2,ChIJyzsusSdH0i0RTWXHC57T4lI,Biliq Seminyak Coworking Space and Meeting Venue,Coworking Space,OPERATIONAL,Open
Biliq Sunset,Kuta (Bali),Coworking Space,6631cb0dbdcb81d0e34d99ed,ChIJBf6rrkNH0i0Rl0dxSR6EcbM,Biliq Sunset Office Space,Corporate Office,OPERATIONAL,Open
Black Coffee On The Roof,Old Town,Cafe,67dbb81d7b580966f91da3f2,ChIJUXuRQ7eJbEcRB-dyLwmsHPg,Black Coffee (ON THE ROOF OF SHOPPING CENTRAL),Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Black Sheep Coffee - Elizabeth Street,Victoria,Cafe,6809d00b92fd7d3374c6308a,ChIJ7ZPIBa0FdkgRSXDJSAETx-E,Black Sheep Coffee - Elizabeth Street,Coffee shop,OPERATIONAL,Open
Black Sheep Coffee Victoria St,Westminster,Cafe,6809d00a9b7082d7ab262065,ChIJa7pL_yAFdkgRmSIQtsbCFuc,Black Sheep Coffee - Victoria Station,Coffee shop,OPERATIONAL,Open
Blacklist Coffee Roasters,Canggu,Cafe,65fa86d0e0379bf78d5245b0,ChIJLwBu4ns50i0RXv6XHyBYYxc,Blacklist Coffee Roasters,Cafe,OPERATIONAL,Open
Blacktip Cafe & Workspace,Mae Haad,Coworking Space,67c19545c7059a51dd786c30,ChIJxyK0YVehVTARvL0TFf4pfXk,Blacktip: Coworking | Keto | Smash Burgers | Ice Bath & Sauna | Calisthenics,Restaurant,OPERATIONAL,Open
Bliss Casa,Gili Trawangan,Cafe,6613fb7fd0695b597ed3f3e6,ChIJu4fWv__dzS0RKUNqovkxMiE,Bliss Cuisine,Vegetarian Restaurant,OPERATIONAL,Open
Blue Coffee at Agriculture CMU,Suthep,Cafe,67d0057e4db2a5ec5517a61b,ChIJvwv3Wiwx2jAR2HAqPvdSLX4,Blue coffee at Agriculture CMU,Cafe,OPERATIONAL,Open
Blue Garage Coworking Space,Lewisham,Coworking Space,6809d00392fd7d3374c629d8,ChIJ3aVmThYDdkgR7Sw0nKvF5zQ,"BLUE GARAGE - Innovation Hub, accelerating the commercialisation of hardware scaleups.",Coworking space,OPERATIONAL,Open
Blue Light Wine Bar & Bistro,Sairee Beach,Cafe,67c1954413d0ea57bc8b66fa,ChIJqfmk2ub_VDARUgyuFNtlkmA,Blue Light Wine Bar & Bistro,Bistro,OPERATIONAL,Open
Boardriders Quiksilver | Ericeira,Central,Cafe,6840bf1fbfd7bd3fee0521fa,ChIJ-yW89AMnHw0RQw-gMNWbwc8,Boardriders Quiksilver Roxy DC Shoes | Ericeira,Sporting goods store,OPERATIONAL,Open
Boheme Canggu,Pererenan,Cafe,65fa86d0e0379bf78d524575,ChIJ84DyXzU50i0R4OoVNCCiH6g,Boheme Canggu,Restaurant,OPERATIONAL,Open
Bombu Mininu,Mindelo,Cafe,676736d0d39b71a90ae30d5a,ChIJ-ZcNcKQfTwkRbB3z-jO5x-Y,Bombu Mininu,Cafe,OPERATIONAL,Open
Bonanza Coffee Heroes,Prenzlauer Berg,Cafe,67dbb81b06a7e0d321e784e8,ChIJyWdFA_lRqEcRPDXaiTYiPmk,Bonanza Coffee Heroes,Coffee shop,OPERATIONAL,Open
Brain Awake,Old City,Cafe,660a66379d538bd994550e86,ChIJ3SA2ej3HxokR3leH3v7JMrg,Philly Wellness Center,Wellness Center,OPERATIONAL,Open
Brave Roasters - Siam Discovery,Siam,Cafe,674b37a011bf5448aba7531a,ChIJkeZNeM2e4jARcTi2CnQGAbk,Brave Roasters / Siam Discovery,Coffee shop,OPERATIONAL,Open
Bravo Beach Resort Siargao,General Luna,Cafe,67246a3962a5f35d6b0ce43a,ChIJOWDyiBv2AzMRpVvm7y_rqv4,Bravo Beach Resort Siargao,Hotel,OPERATIONAL,Open
Bread Basket Bakery - Canggu Bali,Canggu,Cafe,67a956456c0cce17d1ff1ad1,ChIJwzQBEtw50i0RMnQpllFb0a4,Bread Basket Bakery - Canggu Bali,Bakery,OPERATIONAL,Open
Break Brunch Lisbon,Bica,Cafe,67dbb82a911faea0a7115ce9,ChIJxZRVRMw1GQ0ReaI6chvNj80,Break Brunch Lisbon,Brunch restaurant,OPERATIONAL,Open
Brew Garden - Caffe Vergnano 1882,Holborn,Cafe,6809d00284cf6fe0ca12c9ae,ChIJYWkMeUwbdkgRD3JyJDEqCmM,Brew Garden,Coffee shop,OPERATIONAL,Open
Broccoli Revolution Sukhumvit 49,Sukhumvit,Cafe,674b379f040573bdb6420eb0,ChIJuxpP96mf4jARqZPYPN045Xs,Broccoli Revolution Sukhumvit 49,Vegan restaurant,OPERATIONAL,Open
Brunch Club Berawa,Berawa,Untagged,65fa86d0e0379bf78d52459e,ChIJnxFCS3pH0i0RE9mJ0v6ZkHA,Brunch Club Berawa,Cafe,CLOSED_TEMPORARILY,Temporarily closed
Brunch Club Pererenan,Pererenan,Untagged,65fa86d0e0379bf78d524597,ChIJkfDSHYg50i0RBdXQigmMn54,Brunch Club Pererenan,Cafe,OPERATIONAL,Open
Brunch Spot,General Luna,Cafe,67246a3ae051ce3154cde01b,ChIJ9c7uFI_3AzMRb69qwGF385U,Brunch Spot,Restaurant,OPERATIONAL,Open
Bubba's Coffee Baan Tai,Baan Tai,Cafe,6784e219668d29537c3df4f0,ChIJpbAG5r79VDARYvFdLxxixRU,Bubba's Coffee Baan Tai,Cafe,OPERATIONAL,Open
Bubba's Roastery,Haad Yao,Cafe,6784e2165a861705e48317d4,ChIJLwl5NcABVTARzDSHHb_FpAI,Bubba's Roastery,Cafe,OPERATIONAL,Open
Bubba's Thong Sala,Thong Sala,Cafe,67a95644a7bf46e2d2ddf70c,ChIJqziIa53_VDARWOfDZiTn79g,Bubba's Coffee Thong Sala,Cafe,OPERATIONAL,Open
BukitHub,Uluwatu (Ungasan),Coworking Space,660f6e1b44ab603706fd0baa,ChIJ6b-YySdb0i0RdW0lYq-OgHs,BukitHub Coworking ( 24x7 ),Coworking Space,OPERATIONAL,Open
Bull's Coffee,Berawa,Cafe,65fa86d0e0379bf78d5245af,ChIJx36zKPQ50i0R7AIVKuwbbhM,Bull's Coffee Berawa,Coffee Shop,OPERATIONAL,Open
Bull's Coffee Negara,Nagara,Cafe,6809d00bb6b8aaacae652480,ChIJV0E4jGdj0S0RZPEtNvTq7mE,Bull's Coffee Negara,Coffee shop,OPERATIONAL,Open
Buna Coffee & People,Bica,Cafe,67dbb82a186cec74323abb18,ChIJNwrP1Fc1GQ0Rh_wL-CRnKBQ,Buna,Coffee shop,OPERATIONAL,Open
Buri Siri Cafe & Coworking space,Nimman,Coworking Space,660a6637b397cf1a2392d7ea,ChIJawdhb4g62jARqD6Lf22ED5g,Buristro Bar & Cafe,Restaurant,OPERATIONAL,Open
Bush Radio,Kuta,Cafe,661735cc1a986db2aa2f6974,ChIJc4_VvFupzS0ROOASeBvDQEo,Bush Radio,Restaurant,OPERATIONAL,Open
CODOS Coffee Muehlenkamp,Winterhude,Cafe,666b03fb9720d46c38ebbb7b,ChIJG1OunjqJsUcRXa6opBkcc-4,CODOS Winterhude,Coffee Shop,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
CORE Oldenburg,Oldenburg,Coworking Space,6749620d75224ac4ae447fdf,ChIJweyfWdvftkcRPRoCnjhYAfU,CORE Oldenburg,Coworking space,OPERATIONAL,Open
COSP Coworking Space Glashuetten,Glashuetten,Coworking Space,67f8adc66fca3737f5d67517,ChIJgZKPJs-vvUcRWOu2ux_LBWI,COSP Coworking Space Glashütten,Coworking space,OPERATIONAL,Open
CUM Coffee - The Office Thonglor,Thonglor,Cafe,66428dc59256d96271f1d88d,ChIJjSAW7Zaf4jAR8K0f7HXnq2g,CUM Coffee - The Office Thonglor,Coffee Shop,OPERATIONAL,Open
Cafe & Bar Celona Oldenburg Innenstadt,Oldenburg,Cafe,6749620e783e16c39adb351c,ChIJaazYogjftkcRDg1MuXlp5AE,Cafe & Bar Celona Oldenburg Innenstadt,Cafe,OPERATIONAL,Open
Cafe 7Stern,Neubau,Cafe,6676cf053d1ef88b5109e37a,ChIJm4sY640HbUcRuUiF3DNUQ38,Cafe 7Stern,Cafe,OPERATIONAL,Open
Cafe Bar Fro,Riva,Cafe,67dbb82d06a7e0d321e78eee,ChIJgwVfrf9dNRMRC_yRa7QYGLQ,Fro,Cafe,OPERATIONAL,Open
Cafe Coach,Canggu,Cafe,65fa86d0e0379bf78d524505,ChIJSbHdB9450i0RkjuhGplo8EE,Cafe Coach,Restaurant,OPERATIONAL,Open
Cafe Csiga,District 8,Cafe,668b9113ddffc472b7985f54,ChIJ_5BzUV7cQUcR7KfjgvgYzfE,Café Csiga,Restaurant,OPERATIONAL,Open
Cafe De Palma,Palm Jumeirah,Cafe,688cc1e479b1b078b64c5458,ChIJ1RNrfVtrXz4RTrtiOqxInp4,"Café De Palma, Palm Jumeirah",Cafe,OPERATIONAL,Open
Cafe De Paris,Business Bay,Cafe,682f68cd6850d1a8dbefbd1c,ChIJVa79xy5pXz4Rrj9ZfEWL19U,Café De Paris - Best Shisha in Business Bay,Hookah bar,OPERATIONAL,Open
Cafe Eiles,Josefstadt,Cafe,66428dc593fa7c845cd1391e,ChIJmfUeQ5QHbUcRLHDmvAAJsHM,Café Eiles,Cafe,OPERATIONAL,Open
Cafe Extrablatt Oldenburg,Oldenburg,Cafe,6749620d1eef3246ea2076fe,ChIJk7U3AQfftkcRa5mPlV3sk40,Cafe Extrablatt Oldenburg,Cafe,OPERATIONAL,Open
Cafe Faber,Au-Haidhausen,Cafe,66c1ffe60c2b45fe48eea4db,ChIJoQpy04bfnUcRg4R4eDFRM6A,Café Faber,Cafe,CLOSED_TEMPORARILY,Temporarily closed
Cafe Goldegg,Wieden,Cafe,66781d498854ad6b0ab913b3,ChIJWWvn830HbUcRbrUzChzF55I,Café Goldegg,Cafe,OPERATIONAL,Open
Cafe Jelinek,Mariahilf,Cafe,6676cf05bc969b0c31a234cd,ChIJz860h4kHbUcRvp4byquVfPY,Café Jelinek,Cafe,OPERATIONAL,Open
Cafe Johanna-Hamburg,Neustadt,Cafe,67dbb82505b2a7fae38f7c17,ChIJFTrBwg2PsUcRbfXjxbi8iow,Café Johanna-Hamburg,Cafe,OPERATIONAL,Open
Cafe KIOSK NO3,Kopli,Cafe,67dbb82ea4e8954f6bec6290,ChIJbb3JLmOTkkYRElHmd9Wj104,KIOSK NO3,Cafe,OPERATIONAL,Open
Cafe Knuth,Ottensen,Cafe,6666b1c8833ca0d65274c66f,ChIJuSPj4EqjY0ER98uSYBzxpUg,Cafe Bar Knuth,Cafe,OPERATIONAL,Open
Cafe Königin 43,Maxvorstadt,Cafe,66c1ffe784c0d0d41f0a43d5,ChIJ4xjOXJR1nkcROhAtCyI_TuY,Cafe Königin 43,Breakfast Restaurant,OPERATIONAL,Open
Cafe Lehel | Coffee | Kaffee | Smoothie,Altstadt-Lehel,Cafe,66c1ffe75673bb6bae94b5d0,ChIJgSwsROh1nkcR-M30zFZJudc,Café Lehel,Cafe,OPERATIONAL,Open
Cafe Neighbor,Sathon,Cafe,674b379fe281a34da8daf3a1,ChIJreUqADGf4jARJ8gPpRAAkdc,"Cafe NEIGHBOR, Coffee & Treats",Coffee shop,OPERATIONAL,Open
Cafe Neustadt,Vinohrady,Cafe,67dbb82d89928f8e5c836d95,ChIJeZugUvKUC0cRP-Vy9kYg2qw,Cafe Neustadt,Cafe,OPERATIONAL,Open
Cafe Noina by hematoa,Phloen Chit,Cafe,67dbb819b2bb3bdb73a47445,ChIJMU-tBwCf4jARZnhBeGHuuUA,Cafe Noina by hematoa,Cafe,OPERATIONAL,Open
Cafe Pomegranate,Ubud,Cafe,65fa86d0e0379bf78d5247b8,ChIJx3_FMT890i0RoiKKVRnF-tw,Cafe Pomegranate,Asian Restaurant,CLOSED_TEMPORARILY,Temporarily closed
Cafe Sperl,Mariahilf,Cafe,66795f582608a890b5948de3,ChIJ2XE5E4UHbUcRnNXnuwsVah8,Café Sperl,Cafe,OPERATIONAL,Open
Cafe The Province,Josefstadt,Cafe,67dbb82f3caa81895e3f0fd5,ChIJK3v71JQHbUcRYsN3EHKNtU4,Cafe The Province,Cafe,OPERATIONAL,Open
